2000 AB Bachelor's All 6900 7500
2005 AB Bachelor's All 9300 10000
2010 AB Bachelor's All 9207 9900
2015 AB Bachelor's All 9900 11000
2000 AB College All 3822 4200
2005 AB College All 6624 7200
2010 AB College All 8004 8700
2015 AB College All 9612 10800
2000 AB Doctorate All 380 400
2005 AB Doctorate All 380 400
2010 AB Doctorate All 558 600
2015 AB Doctorate All 528 600
2000 AB Master's All 1504 1600
2005 AB Master's All 2090 2200
2010 AB Master's All 2418 2600
2015 AB Master's All 2912 3200
2000 BC Bachelor's All 8712 9900
2005 BC Bachelor's All 10695 11500
2010 BC Bachelor's All 13320 14800
2015 BC Bachelor's All 12371 13900
2000 BC College All 9152 10400
2005 BC College All 7626 8200
2010 BC College All 11011 12100
2015 BC College All 13320 14800
2000 BC Doctorate All 380 400
2005 BC Doctorate All 279 300
2010 BC Doctorate All 564 600
2015 BC Doctorate All 376 400
2000 BC Master's All 2325 2500
2005 BC Master's All 2392 2600
2010 BC Master's All 3240 3600
2015 BC Master's All 4185 4500
2000 CAN Bachelor's All 70920 78800
2005 CAN Bachelor's All 86268 94800
2010 CAN Bachelor's All 92552 100600
2015 CAN Bachelor's All 97560 108400
2000 CAN College All 67500 75000
2005 CAN College All 64620 71800
2010 CAN College All 79560 88400
2015 CAN College All 83037 93300
2000 CAN Doctorate All 3330 3700
2005 CAN Doctorate All 2912 3200
2010 CAN Doctorate All 5208 5600
2015 CAN Doctorate All 4410 4900
2000 CAN Master's All 19019 20900
2005 CAN Master's All 23064 24800
2010 CAN Master's All 30636 33300
2015 CAN Master's All 42504 46200
2000 MB Bachelor's All 2697 2900
2005 MB Bachelor's All 3312 3600
2010 MB Bachelor's All 3102 3300
2015 MB Bachelor's All 3330 3700
2000 MB College All 1729 1900
2005 MB College All 2232 2400
2010 MB College All 2576 2800
2015 MB College All 2552 2900
2000 MB Doctorate All 99 100
2005 MB Doctorate All 92 100
2010 MB Doctorate All 90 100
2015 MB Doctorate All 87 100
2000 MB Master's All 460 500
2005 MB Master's All 570 600
2010 MB Master's All 658 700
2015 MB Master's All 890 1000
2000 NB Bachelor's All 1740 2000
2005 NB Bachelor's All 2070 2300
2010 NB Bachelor's All 2139 2300
2015 NB Bachelor's All 1820 2000
2000 NB College All 1914 2200
2005 NB College All 2070 2300
2010 NB College All 810 1000
2015 NB College All 2136 2400
2000 NB Doctorate All 0 0
2005 NB Doctorate All 0 0
2010 NB Doctorate All 0 0
2015 NB Doctorate All 88 100
2000 NB Master's All 279 300
2005 NB Master's All 368 400
2010 NB Master's All 360 400
2015 NB Master's All 460 500
2000 NL Bachelor's All 957 1100
2005 NL Bachelor's All 1408 1600
2010 NL Bachelor's All 1274 1400
2015 NL Bachelor's All 1157 1300
2000 NL College All 1120 1400
2005 NL College All 510 600
2010 NL College All 1558 1900
2015 NL College All 344 400
2000 NL Doctorate All 0 0
2005 NL Doctorate All 0 0
2010 NL Doctorate All 0 0
2000 NL Master's All 279 300
2005 NL Master's All 376 400
2010 NL Master's All 380 400
2015 NL Master's All 588 700
2000 NS Bachelor's All 2759 3100
2005 NS Bachelor's All 3420 3800
2010 NS Bachelor's All 3367 3700
2015 NS Bachelor's All 3382 3800
2000 NS College All 2436 2800
2005 NS College All 2288 2600
2010 NS College All 2924 3400
2015 NS College All 2730 3000
2000 NS Doctorate All 96 100
2005 NS Doctorate All 100 100
2010 NS Doctorate All 92 100
2015 NS Doctorate All 89 100
2000 NS Master's All 752 800
2005 NS Master's All 1235 1300
2010 NS Master's All 1425 1500
2015 NS Master's All 1656 1800
2000 ON Bachelor's All 26730 29700
2005 ON Bachelor's All 32670 36300
2010 ON Bachelor's All 33306 36600
2015 ON Bachelor's All 38092 42800
2000 ON College All 34830 38700
2005 ON College All 27323 30700
